,Category_x,Name,Year,Month_only,Month-Year,Sustainedwind speeds,Deaths, Actual Dollars ,Category_y,DateImpact,Landfall
59,3.0,Unnamed,1858,June,"June,1858",115.0,,,1,September 16,Massachusetts
60,3.0,Unnamed,1858,June,"June,1858",115.0,,,1,September 16,New York
61,3.0,Unnamed,1858,June,"June,1858",115.0,,,1,September 16,Rhode Island
62,1.0,Eight,1859,October,"October,1859",90.0,,,,,
63,1.0,Five,1859,September,"September,1859",80.0,2.0,,,,
64,3.0,Indianola,1859,September,"September,1859",115.0,829.0,,,,
65,2.0,One,1859,September,"September,1859",105.0,0.0,,,,
66,3.0,San Felipe,1859,September,"September,1859",115.0,21.0,,,,
67,2.0,Seven,1859,September,"September,1859",105.0,0.0,,,,
68,1.0,Three,1859,September,"September,1859",80.0,0.0,,,,
69,2.0,Three,1859,October,"October,1859",105.0,0.0,,,,
70,3.0,Unnamed,1859,October,"October,1859",115.0,,,1,September 16,Alabama
71,3.0,Unnamed,1859,October,"October,1859",115.0,,,1,September 16,Florida
72,3.0,Unnamed,1859,October,"October,1859",115.0,,,1,October 28,Florida
73,1.0,Three,1860,September,"September,1860",80.0,0.0,,,,
74,2.0,Two,1860,September,"September,1860",105.0,0.0,,,,
75,3.0,Unnamed,1860,September,"September,1860",115.0,84.0,,2,August 12,Alabama
76,3.0,Unnamed,1860,September,"September,1860",115.0,84.0,,1,September 16,Alabama
77,3.0,Unnamed,1860,September,"September,1860",115.0,84.0,,3,August 11,Louisiana
78,3.0,Unnamed,1860,September,"September,1860",115.0,84.0,,2,September 15,Louisiana
79,3.0,Unnamed,1860,September,"September,1860",115.0,84.0,,2,October 2,Louisiana
80,3.0,Unnamed,1860,September,"September,1860",115.0,84.0,,3,August 12,Mississippi
81,3.0,Unnamed,1860,September,"September,1860",115.0,84.0,,2,September 15,Mississippi
82,1.0,Five,1861,September,"September,1861",80.0,0.0,,,,
83,1.0,Four,1861,September,"September,1861",80.0,0.0,,,,
84,2.0,One,1861,September,"September,1861",105.0,0.0,,,,
85,1.0,The Expedition Hurricane of 1861,1861,November,"November,1861",80.0,0.0,,,,
86,2.0,Three,1861,August,"August,1861",105.0,0.0,,,,
87,2.0,Three,1861,November,"November,1861",105.0,0.0,,,,
88,1.0,Two,1861,August,"August,1861",90.0,0.0,,,,
89,2.0,Two,1861,September,"September,1861",105.0,0.0,,,,
90,3.0,Unnamed,1861,September,"September,1861",115.0,46.0,,1,August 16,Florida
91,3.0,Unnamed,1861,September,"September,1861",115.0,46.0,,1,September 27,North Carolina
92,3.0,Unnamed,1861,September,"September,1861",115.0,46.0,,1,November 2,North Carolina
93,3.0,Unnamed,1861,November,"November,1861",125.0,9.0,,1,August 16,Florida
94,3.0,Unnamed,1861,November,"November,1861",125.0,9.0,,1,September 27,North Carolina
95,3.0,Unnamed,1861,November,"November,1861",125.0,9.0,,1,November 2,North Carolina
96,3.0,Unnamed,1861,September,"September,1861",125.0,1.0,,1,August 16,Florida
97,3.0,Unnamed,1861,September,"September,1861",125.0,1.0,,1,September 27,North Carolina
98,3.0,Unnamed,1861,September,"September,1861",125.0,1.0,,1,November 2,North Carolina
99,3.0,Unnamed,1861,August,"August,1861",115.0,,,1,August 16,Florida
100,3.0,Unnamed,1861,August,"August,1861",115.0,,,1,September 27,North Carolina
101,3.0,Unnamed,1861,August,"August,1861",115.0,,,1,November 2,North Carolina
102,1.0,Five,1862,October,"October,1862",80.0,3.0,,,,
103,2.0,Four,1862,October,"October,1862",105.0,0.0,,,,
104,3.0,Unnamed,1862,October,"October,1862",125.0,,,,,
105,1.0,Five,1863,September,"September,1863",80.0,0.0,,,,
106,2.0,Four,1863,September,"September,1863",105.0,325.0,,,,
107,3.0,Unnamed,1863,September,"September,1863",125.0,106.0,,,,
108,2.0,Seven,1864,July,"July,1864",105.0,1.0," $300,000.00 ",,,
109,1.0,Five,1864,October,"October,1864",80.0,0.0,,,,
110,1.0,One,1864,July,"July,1864",80.0,0.0,,,,
111,2.0,One,1864,August,"August,1864",105.0,,,,,
112,1.0,Three,1864,August,"August,1864",80.0,0.0,,,,
113,2.0,Two,1864,October,"October,1864",105.0,,,,,
114,3.0,Unnamed,1864,August,"August,1864",120.0,4.0,,,,
115,3.0,Unnamed,1864,October,"October,1864",115.0,,,,,
116,3.0,Unnamed,1864,July,"July,1864",125.0,,,,,
117,2.0,Four,1866,September,"September,1866",105.0,8.0,,,,
118,1.0,Four,1866,September,"September,1866",80.0,0.0,,,,
119,1.0,Three,1866,September,"September,1866",80.0,0.0,,,,
120,2.0,Two,1866,September,"September,1866",105.0,13.0,,,,
121,3.0,Unnamed,1866,September,"September,1866",120.0,150.0,,2,July 15,Texas
122,3.0,Unnamed,1866,September,"September,1866",120.0,,,2,July 15,Texas
123,1.0,Four,1867,August,"August,1867",80.0,0.0,,,,
124,1.0,One,1867,June,"June,1867",80.0,0.0,,,,
125,2.0,Six,1867,August,"August,1867",105.0,0.0,,,,
126,2.0,Three,1867,June,"June,1867",105.0,0.0,,,,
127,3.0,Unnamed,1867,August,"August,1867",125.0,12.0,,1,October 6,Florida
128,3.0,Unnamed,1867,August,"August,1867",125.0,12.0,,2,October 4,Louisiana
129,3.0,Unnamed,1867,August,"August,1867",125.0,12.0,,1,June 22,South Carolina
130,3.0,Unnamed,1867,August,"August,1867",125.0,12.0,,1,October 2,Texas
131,3.0,Unnamed,1867,June,"June,1867",120.0,,,1,October 6,Florida
132,3.0,Unnamed,1867,June,"June,1867",120.0,,,2,October 4,Louisiana
133,3.0,Unnamed,1867,June,"June,1867",120.0,,,1,June 22,South Carolina
134,3.0,Unnamed,1867,June,"June,1867",120.0,,,1,October 2,Texas
135,1.0,Five,1869,September,"September,1869",80.0,0.0,,,,
136,2.0,Seven,1869,September,"September,1869",105.0,,,,,
137,3.0,Unnamed,1869,September,"September,1869",125.0,921.0,,1,September 8,Conneticut
138,3.0,Unnamed,1869,September,"September,1869",125.0,921.0,,1,September 5,Louisiana
139,3.0,Unnamed,1869,September,"September,1869",125.0,921.0,,2,October 4,Maine
140,3.0,Unnamed,1869,September,"September,1869",125.0,921.0,,3,September 8,Massachusetts
141,3.0,Unnamed,1869,September,"September,1869",125.0,921.0,,1,October 4,Massachusetts
142,3.0,Unnamed,1869,September,"September,1869",125.0,921.0,,1,September 8,New York
143,3.0,Unnamed,1869,September,"September,1869",125.0,921.0,,1,September 8,Rhode Island
144,3.0,Unnamed,1869,September,"September,1869",125.0,921.0,,2,August 17,Texas
145,1.0,Eight,1870,October,"October,1870",80.0,0.0,,,,
146,1.0,Eleven,1870,October,"October,1870",80.0,0.0,,,,
147,1.0,Five,1870,September,"September,1870",90.0,0.0,,,,
148,2.0,Four,1870,October,"October,1870",105.0,0.0,,,,
149,3.0,Midnight Storm,1870,October,"October,1870",115.0,34.0,,,,
150,2.0,One,1870,July,"July,1870",105.0,2.0,,,,
151,2.0,One,1870,October,"October,1870",105.0,0.0,,,,
152,3.0,San Magín,1870,September,"September,1870",125.0,703.0,,,,
153,3.0,San Roque,1870,October,"October,1870",120.0,4.0,,,,
154,3.0,Sea Islands,1870,October,"October,1870",120.0,1000.0,,,,
155,1.0,Seven,1870,October,"October,1870",80.0,0.0,,,,
156,1.0,The Mobile Hurricane of 1870,1870,July,"July,1870",80.0,,,,,
157,2.0,Three,1870,September,"September,1870",105.0,0.0,,,,
158,2.0,Two,1870,October,"October,1870",105.0,,,,,
159,3.0,Unnamed,1870,July,"July,1870",120.0,10.0,,1,July 30,Alabama
160,3.0,Unnamed,1870,July,"July,1870",120.0,10.0,,1,October 9,Florida
161,3.0,Unnamed,1870,July,"July,1870",120.0,10.0,,1,October 20,Florida
162,1.0,Eight,1871,October,"October,1871",80.0,0.0,,,,
163,1.0,Seven,1871,September,"September,1871",80.0,0.0,,,,
164,2.0,Seven,1871,September,"September,1871",105.0,0.0,,,,
165,1.0,Six,1871,September,"September,1871",80.0,0.0,,,,
166,2.0,Ten,1871,September,"September,1871",105.0,37.0,,,,
167,2.0,Two,1871,October,"October,1871",105.0,0.0,,,,
168,3.0,Unnamed,1871,October,"October,1871",120.0,200.0,,3,August 16,Florida
169,3.0,Unnamed,1871,October,"October,1871",120.0,200.0,,2,August 25,Florida
170,3.0,Unnamed,1871,October,"October,1871",120.0,200.0,,1,September 6,Florida
171,3.0,Unnamed,1871,September,"September,1871",120.0,28.0,,3,August 16,Florida
172,3.0,Unnamed,1871,September,"September,1871",120.0,28.0,,2,August 25,Florida
173,3.0,Unnamed,1871,September,"September,1871",120.0,28.0,,1,September 6,Florida
174,3.0,Unnamed,1871,September,"September,1871",115.0,1.0,,3,August 16,Florida
175,3.0,Unnamed,1871,September,"September,1871",115.0,1.0,,2,August 25,Florida
176,3.0,Unnamed,1871,September,"September,1871",115.0,1.0,,1,September 6,Florida
177,3.0,Cedar Keys,1872,October,"October,1872",125.0,202.0,,,,
178,1.0,Five,1872,October,"October,1872",80.0,0.0,,,,
179,2.0,Five,1872,October,"October,1872",105.0,0.0,,,,
180,1.0,Four,1872,September,"September,1872",80.0,0.0,,,,
181,2.0,Nine,1872,September,"September,1872",105.0,52.0,,,,
182,3.0,San Ramón,1872,September,"September,1872",115.0,,,,,
183,2.0,Ten,1872,September,"September,1872",105.0,0.0,,,,
184,1.0,Three,1872,September,"September,1872",80.0,0.0,,,,
185,3.0,Unnamed,1872,September,"September,1872",120.0,9.0,,,,
186,1.0,Three,1873,September,"September,1873",80.0,0.0,,,,
187,2.0,Two,1873,September,"September,1873",105.0,0.0,,,,
188,3.0,Unnamed,1873,September,"September,1873",115.0,17.0,,3,October 7,Florida
189,3.0,Unnamed,1873,September,"September,1873",115.0,17.0,,1,September 19,Florida
190,2.0,Five,1874,August,"August,1874",105.0,0.0,,,,
191,2.0,Four,1874,September,"September,1874",105.0,0.0,,,,
192,2.0,Seven,1874,August,"August,1874",105.0,0.0,,,,
193,1.0,Six,1874,September,"September,1874",90.0,0.0,,,,
194,1.0,Three,1874,August,"August,1874",90.0,0.0,,,,
195,1.0,Two,1874,August,"August,1874",80.0,0.0,,,,
196,3.0,Unnamed,1874,August,"August,1874",120.0,149.0,,1,September 28,Florida
197,3.0,Unnamed,1874,August,"August,1874",120.0,149.0,,1,September 24,North Carolina
198,3.0,Unnamed,1874,August,"August,1874",120.0,149.0,,1,September 28,South Carolina
199,3.0,Unnamed,1874,September,"September,1874",120.0,5.0,,1,September 28,Florida
200,3.0,Unnamed,1874,September,"September,1874",120.0,5.0,,1,September 24,North Carolina
201,3.0,Unnamed,1874,September,"September,1874",120.0,5.0,,1,September 28,South Carolina
202,3.0,Unnamed,1874,August,"August,1874",120.0,,,1,September 28,Florida
203,3.0,Unnamed,1874,August,"August,1874",120.0,,,1,September 24,North Carolina
204,3.0,Unnamed,1874,August,"August,1874",120.0,,,1,September 28,South Carolina
205,2.0,Five,1875,September,"September,1875",105.0,9.0,,,,
206,2.0,Four,1875,August,"August,1875",105.0,0.0,,,,
207,1.0,One,1875,August,"August,1875",80.0,0.0,,,,
208,1.0,Six,1875,October,"October,1875",80.0,0.0,,,,
209,2.0,Six,1875,October,"October,1875",105.0,0.0,,,,
210,1.0,Two,1875,September,"September,1875",80.0,0.0,,,,
211,3.0,Unnamed,1875,September,"September,1875",120.0,240.0,,3,September 16,Texas
212,3.0,Unnamed,1875,August,"August,1875",120.0,134.0,,3,September 16,Texas
213,3.0,Unnamed,1875,October,"October,1875",120.0,19.0,,3,September 16,Texas
214,2.0,Eleven,1876,September,"September,1876",105.0,72.0," $2,000,000.00 ",,,
215,1.0,One,1876,September,"September,1876",90.0,0.0,,,,
216,3.0,Unnamed,1876,September,"September,1876",115.0,41.0,,2,October 20,Florida
217,3.0,Unnamed,1876,September,"September,1876",115.0,41.0,,1,September 17,North Carolina
218,3.0,Unnamed,1876,September,"September,1876",115.0,41.0,,1,September 17,Virginia
219,2.0,Eight,1877,September,"September,1877",105.0,0.0,,,,
220,1.0,Three,1877,September,"September,1877",80.0,0.0,,,,
221,2.0,Two,1877,September,"September,1877",105.0,0.0,,,,
222,1.0,Two,1877,September,"September,1877",80.0,0.0,,,,
223,3.0,Unnamed,1877,September,"September,1877",120.0,4000.0,,1,September 19,Florida
224,3.0,Unnamed,1877,September,"September,1877",120.0,4000.0,,3,October 3,Florida
225,3.0,Unnamed,1877,September,"September,1877",120.0,4000.0,,1,October 3,Georgia
226,3.0,Unnamed,1877,September,"September,1877",120.0,4000.0,,1,September 18,Louisiana
227,3.0,Unnamed,1877,September,"September,1877",120.0,400.0,,1,September 19,Florida
228,3.0,Unnamed,1877,September,"September,1877",120.0,400.0,,3,October 3,Florida
229,3.0,Unnamed,1877,September,"September,1877",120.0,400.0,,1,October 3,Georgia
230,3.0,Unnamed,1877,September,"September,1877",120.0,400.0,,1,September 18,Louisiana
231,1.0,Eight,1878,October,"October,1878",80.0,27.0,,,,
232,2.0,Five,1878,August,"August,1878",105.0,700.0,,,,
233,2.0,Four,1878,August,"August,1878",105.0,68.0,,,,
234,2.0,Four,1878,October,"October,1878",105.0,8.0,,,,
235,1.0,Nine,1878,October,"October,1878",80.0,0.0,,,,
236,2.0,Six,1878,October,"October,1878",105.0,0.0,,,,
237,1.0,Three,1878,August,"August,1878",90.0,0.0,,,,
238,1.0,Two,1878,August,"August,1878",80.0,,,,,
239,3.0,Unnamed,1878,August,"August,1878",115.0,200.0,,1,October 23,Deleware
240,3.0,Unnamed,1878,August,"August,1878",115.0,200.0,,2,September 10,Florida
241,3.0,Unnamed,1878,August,"August,1878",115.0,200.0,,1,September 11,Georgia
242,3.0,Unnamed,1878,August,"August,1878",115.0,200.0,,1,October 23,Maryland
243,3.0,Unnamed,1878,August,"August,1878",115.0,200.0,,1,October 23,New Jersey
244,3.0,Unnamed,1878,August,"August,1878",115.0,200.0,,2,October 23,North Carolina
245,3.0,Unnamed,1878,August,"August,1878",115.0,200.0,,1,September 12,South Carolina
246,3.0,Unnamed,1878,August,"August,1878",115.0,200.0,,1,October 23,Virginia
247,3.0,Unnamed,1878,August,"August,1878",120.0,34.0,,1,October 23,Deleware
248,3.0,Unnamed,1878,August,"August,1878",120.0,34.0,,2,September 10,Florida
249,3.0,Unnamed,1878,August,"August,1878",120.0,34.0,,1,September 11,Georgia
250,3.0,Unnamed,1878,August,"August,1878",120.0,34.0,,1,October 23,Maryland
251,3.0,Unnamed,1878,August,"August,1878",120.0,34.0,,1,October 23,New Jersey
252,3.0,Unnamed,1878,August,"August,1878",120.0,34.0,,2,October 23,North Carolina
253,3.0,Unnamed,1878,August,"August,1878",120.0,34.0,,1,September 12,South Carolina
254,3.0,Unnamed,1878,August,"August,1878",120.0,34.0,,1,October 23,Virginia
255,3.0,Unnamed,1878,October,"October,1878",120.0,34.0,,1,October 23,Deleware
256,3.0,Unnamed,1878,October,"October,1878",120.0,34.0,,2,September 10,Florida
257,3.0,Unnamed,1878,October,"October,1878",120.0,34.0,,1,September 11,Georgia
258,3.0,Unnamed,1878,October,"October,1878",120.0,34.0,,1,October 23,Maryland
259,3.0,Unnamed,1878,October,"October,1878",120.0,34.0,,1,October 23,New Jersey
260,3.0,Unnamed,1878,October,"October,1878",120.0,34.0,,2,October 23,North Carolina
261,3.0,Unnamed,1878,October,"October,1878",120.0,34.0,,1,September 12,South Carolina
262,3.0,Unnamed,1878,October,"October,1878",120.0,34.0,,1,October 23,Virginia
263,3.0,Unnamed,1878,October,"October,1878",120.0,1.0,,1,October 23,Deleware
264,3.0,Unnamed,1878,October,"October,1878",120.0,1.0,,2,September 10,Florida
265,3.0,Unnamed,1878,October,"October,1878",120.0,1.0,,1,September 11,Georgia
266,3.0,Unnamed,1878,October,"October,1878",120.0,1.0,,1,October 23,Maryland
267,3.0,Unnamed,1878,October,"October,1878",120.0,1.0,,1,October 23,New Jersey
268,3.0,Unnamed,1878,October,"October,1878",120.0,1.0,,2,October 23,North Carolina
269,3.0,Unnamed,1878,October,"October,1878",120.0,1.0,,1,September 12,South Carolina
270,3.0,Unnamed,1878,October,"October,1878",120.0,1.0,,1,October 23,Virginia
271,2.0,Two,1879,August,"August,1879",105.0,25.0," $1,800,000.00 ",,,
272,1.0,One,1879,August,"August,1879",80.0,0.0,,,,
273,2.0,One,1879,October,"October,1879",100.0,,,,,
274,1.0,Seven,1879,October,"October,1879",80.0,0.0,,,,
275,3.0,Unnamed,1879,August,"August,1879",120.0,26.0,,2,August 23,Louisiana
276,3.0,Unnamed,1879,August,"August,1879",120.0,26.0,,3,September 1,Louisiana
277,3.0,Unnamed,1879,August,"August,1879",120.0,26.0,,1,August 19,Massachusetts
278,3.0,Unnamed,1879,August,"August,1879",120.0,26.0,,3,August 18,North Carolina
279,3.0,Unnamed,1879,August,"August,1879",120.0,26.0,,2,August 23,Texas
280,3.0,Unnamed,1879,August,"August,1879",120.0,26.0,,2,August 18,Virginia
281,3.0,Unnamed,1879,October,"October,1879",120.0,,,2,August 23,Louisiana
282,3.0,Unnamed,1879,October,"October,1879",120.0,,,3,September 1,Louisiana
283,3.0,Unnamed,1879,October,"October,1879",120.0,,,1,August 19,Massachusetts
284,3.0,Unnamed,1879,October,"October,1879",120.0,,,3,August 18,North Carolina
285,3.0,Unnamed,1879,October,"October,1879",120.0,,,2,August 23,Texas
286,3.0,Unnamed,1879,October,"October,1879",120.0,,,2,August 18,Virginia
287,2.0,Eight,1880,September,"September,1880",100.0,0.0,,,,
288,2.0,Eight,1880,October,"October,1880",105.0,0.0,,,,
289,1.0,Five,1880,August,"August,1880",90.0,0.0,,,,
290,2.0,Four,1880,October,"October,1880",100.0,0.0,,,,
291,1.0,Nine,1880,October,"October,1880",80.0,0.0,,,,
292,2.0,Nine,1880,September,"September,1880",100.0,0.0,,,,
293,3.0,San Pedro,1880,September,"September,1880",125.0,80.0,,,,
294,1.0,Seven,1880,September,"September,1880",90.0,0.0,,,,
295,1.0,Six,1880,September,"September,1880",80.0,0.0,,,,
296,1.0,Ten,1880,October,"October,1880",90.0,0.0,,,,
297,2.0,Three,1880,August,"August,1880",100.0,18.0,,,,
298,1.0,Three,1880,August,"August,1880",90.0,0.0,,,,
299,2.0,Two,1880,August,"August,1880",100.0,0.0,,,,
300,3.0,Unnamed,1880,August,"August,1880",120.0,34.0,,2,August 29,Florida
301,3.0,Unnamed,1880,August,"August,1880",120.0,34.0,,1,October 8,Florida
302,3.0,Unnamed,1880,August,"August,1880",120.0,34.0,,1,September 9,North Carolina
303,3.0,Unnamed,1880,August,"August,1880",120.0,34.0,,3,August 13,Texas
304,3.0,Unnamed,1880,October,"October,1880",120.0,2.0,,2,August 29,Florida
305,3.0,Unnamed,1880,October,"October,1880",120.0,2.0,,1,October 8,Florida
306,3.0,Unnamed,1880,October,"October,1880",120.0,2.0,,1,September 9,North Carolina
307,3.0,Unnamed,1880,October,"October,1880",120.0,2.0,,3,August 13,Texas
308,3.0,Unnamed,1880,September,"September,1880",120.0,,,2,August 29,Florida
309,3.0,Unnamed,1880,September,"September,1880",120.0,,,1,October 8,Florida
310,3.0,Unnamed,1880,September,"September,1880",120.0,,,1,September 9,North Carolina
311,3.0,Unnamed,1880,September,"September,1880",120.0,,,3,August 13,Texas
312,3.0,Unnamed,1880,October,"October,1880",120.0,,,2,August 29,Florida
313,3.0,Unnamed,1880,October,"October,1880",120.0,,,1,October 8,Florida
314,3.0,Unnamed,1880,October,"October,1880",120.0,,,1,September 9,North Carolina
315,3.0,Unnamed,1880,October,"October,1880",120.0,,,3,August 13,Texas
316,3.0,Unnamed,1880,August,"August,1880",120.0,,,2,August 29,Florida
317,3.0,Unnamed,1880,August,"August,1880",120.0,,,1,October 8,Florida
318,3.0,Unnamed,1880,August,"August,1880",120.0,,,1,September 9,North Carolina
319,3.0,Unnamed,1880,August,"August,1880",120.0,,,3,August 13,Texas
320,2.0,Fifteen,1881,August,"August,1881",105.0,0.0,,,,
321,1.0,Four,1881,August,"August,1881",80.0,,,,,
322,2.0,Nine,1881,August,"August,1881",100.0,14.0,,,,
323,1.0,Three,1881,August,"August,1881",90.0,0.0,,,,
324,3.0,Unnamed,1881,August,"August,1881",120.0,55.0,,2,August 28,Georgia
325,3.0,Unnamed,1881,August,"August,1881",120.0,55.0,,2,September 9,North Carolina
326,3.0,Unnamed,1881,August,"August,1881",120.0,55.0,,1,August 28,South Carolina
327,3.0,Unnamed,1881,August,"August,1881",115.0,25.0,,2,August 28,Georgia
328,3.0,Unnamed,1881,August,"August,1881",115.0,25.0,,2,September 9,North Carolina
329,3.0,Unnamed,1881,August,"August,1881",115.0,25.0,,1,August 28,South Carolina
330,1.0,Five,1882,September,"September,1882",80.0,0.0,,,,
331,2.0,Nine,1882,September,"September,1882",100.0,0.0,,,,
332,1.0,One,1882,August,"August,1882",80.0,0.0,,,,
333,2.0,Seven,1882,August,"August,1882",110.0,0.0,,,,
334,3.0,Unnamed,1882,August,"August,1882",125.0,175.0,,1,September 10,Alabama
335,3.0,Unnamed,1882,August,"August,1882",125.0,175.0,,3,September 10,Florida
336,3.0,Unnamed,1882,August,"August,1882",125.0,175.0,,1,October 11,Florida
337,3.0,Unnamed,1882,September,"September,1882",125.0,,,1,September 10,Alabama
338,3.0,Unnamed,1882,September,"September,1882",125.0,,,3,September 10,Florida
339,3.0,Unnamed,1882,September,"September,1882",125.0,,,1,October 11,Florida
340,2.0,Four,1883,August,"August,1883",105.0,40.0,,,,
341,1.0,One,1883,August,"August,1883",90.0,0.0,,,,
342,3.0,Unnamed,1883,August,"August,1883",125.0,10.0,,2,September 11,North Carolina
343,3.0,Unnamed,1883,August,"August,1883",125.0,10.0,,1,September 11,South Carolina
344,2.0,Four,1884,September,"September,1884",100.0,0.0,,,,
345,1.0,One,1884,September,"September,1884",80.0,0.0,,,,
346,2.0,Six,1884,September,"September,1884",110.0,0.0,,,,
347,1.0,Three,1884,September,"September,1884",90.0,0.0,,,,
348,3.0,Unnamed,1884,September,"September,1884",120.0,2.0,,,,
349,3.0,Unnamed,1884,September,"September,1884",115.0,,,,,
350,2.0,Five,1885,September,"September,1885",100.0,0.0,,,,
351,2.0,Five,1885,August,"August,1885",100.0,0.0,,,,
352,1.0,Five,1885,September,"September,1885",80.0,0.0,,,,
353,1.0,Four,1885,September,"September,1885",90.0,4.0,,,,
354,1.0,One,1885,August,"August,1885",90.0,0.0,,,,
355,2.0,Seven,1885,September,"September,1885",100.0,0.0,,,,
356,1.0,Seven,1885,September,"September,1885",90.0,0.0,,,,
357,2.0,Six,1885,September,"September,1885",100.0,0.0,,,,
358,1.0,Six,1885,September,"September,1885",80.0,,,,,
359,2.0,Three,1885,September,"September,1885",100.0,0.0,,,,
360,3.0,Unnamed,1885,September,"September,1885",120.0,10.0,,1,August 24,Florida
361,3.0,Unnamed,1885,September,"September,1885",120.0,10.0,,1,August 25,Georgia
362,3.0,Unnamed,1885,September,"September,1885",120.0,10.0,,2,September 25,North Carolina
363,3.0,Unnamed,1885,September,"September,1885",120.0,10.0,,3,August 25,South Carolina
364,3.0,Unnamed,1885,September,"September,1885",115.0,8.0,,1,August 24,Florida
365,3.0,Unnamed,1885,September,"September,1885",115.0,8.0,,1,August 25,Georgia
366,3.0,Unnamed,1885,September,"September,1885",115.0,8.0,,2,September 25,North Carolina
367,3.0,Unnamed,1885,September,"September,1885",115.0,8.0,,3,August 25,South Carolina
368,3.0,Unnamed,1885,September,"September,1885",125.0,7.0,,1,August 24,Florida
369,3.0,Unnamed,1885,September,"September,1885",125.0,7.0,,1,August 25,Georgia
